Username,Uploads,Subscribers,Views
T-Series,"16,720",213M,"188,329,880,079"
YouTube Movies,--,150M,--
Cocomelon - Nursery Rhymes,752,133M,"127,051,401,221"
SET India,"78,508",131M,"101,734,783,989"
Music,--,116M,--
PewDiePie,"4,472",111M,"28,264,921,024"
MrBeast,721,94.1M,"15,453,811,780"
✿ Kids Diana Show,978,93.9M,"73,381,245,132"
Gaming,--,92.1M,--
Like Nastya,670,91M,"74,253,233,131"
WWE,"60,767",87.7M,"68,073,879,267"
Zee Music Company,"6,269",83.4M,"46,353,932,391"
Vlad and Niki,443,80.9M,"62,473,960,658"
5-Minute Crafts,"5,287",76.3M,"23,191,160,290"
Sports,--,75.1M,--
BLACKPINK,394,73.6M,"23,364,007,183"
Goldmines,"3,064",68.9M,"16,315,183,869"
Justin Bieber,243,68.4M,"27,710,191,925"
Sony SAB,"50,824",65.9M,"75,938,061,710"
Canal KondZilla,"2,253",65.6M,"36,151,664,060"
BANGTANTV,"1,686",65.6M,"15,827,521,495"
HYBE LABELS,819,65.1M,"22,241,415,298"
Zee TV,"59,339",62M,"15,923,709,318"
Shemaroo Filmi Gaane,"7,638",59.5M,"27,298,726,789"
Dude Perfect,287,57.4M,"14,225,005,027"
Pinkfong Baby Shark - Kids' Songs …,"2,232",57M,"30,126,802,459"
Movieclips,"38,747",56.6M,"57,333,255,320"
ChuChu TV Nursery Rhymes & Kids So…,473,55.6M,"37,435,684,690"
Marshmello,393,55.1M,"12,974,759,658"
Colors TV,"78,880",52M,"48,868,988,091"
Wave Music,"18,633",51.8M,"36,046,110,362"
EminemMusic,138,51.7M,"22,741,510,246"
Ed Sheeran,240,51.6M,"27,003,663,556"
Aaj Tak,"176,380",51.1M,"18,238,556,955"
Ariana Grande,146,51.1M,"21,549,846,530"
Sony Music India,"3,033",50.6M,"23,589,739,020"
Tips Official,"3,382",50.3M,"26,068,661,186"
T-Series Bhakti Sagar,"23,204",49.9M,"22,822,466,529"
El Reino Infantil,"1,223",49.3M,"47,255,091,068"
LooLoo Kids - Nursery Rhymes and C…,505,48.9M,"28,055,904,079"
Taylor Swift,189,46.2M,"24,718,297,493"
Badabun,"11,564",45.5M,"18,389,577,329"
JuegaGerman,"1,921",45.5M,"13,407,940,491"
YRF,"3,132",45.5M,"27,339,559,381"
Billie Eilish,45,45.3M,"11,406,548,068"
Fernanfloo,541,44.8M,"9,839,401,781"
Felipe Neto,"3,305",43.9M,"14,906,659,211"
whinderssonnunes,517,43.7M,"4,058,518,964"
BRIGHT SIDE,"4,842",43.2M,"9,762,131,005"
HolaSoyGerman.,136,43.2M,"4,702,680,814"
Infobells - Hindi,460,43M,"23,878,816,565"
Katy Perry,113,42.7M,"23,477,006,711"
Você Sabia?,"1,255",42.6M,"7,066,554,788"
Alan Walker,302,41.7M,"11,358,855,267"
SonyMusicIndiaVEVO,"3,233",41.3M,"22,757,919,614"
Like Nastya Show,551,40.9M,"18,469,382,159"
elrubiusOMG,704,40.4M,"7,430,378,020"
Speed Records,"10,073",40.1M,"23,732,242,502"
A4,583,39.4M,"14,430,532,391"
Get Movies,"3,757",39.3M,"27,961,332,733"
ABS-CBN Entertainment,"174,120",39M,"46,201,421,370"
Rihanna,79,39M,"19,508,514,328"
Little Baby Bum - Nursery Rhymes &…,"1,731",38.6M,"35,953,080,972"
Luisito Comunica,"1,104",38.5M,"7,353,511,980"
Bad Bunny,98,38.5M,"19,342,470,072"
TheEllenShow,"14,082",38.2M,"22,040,498,763"
Маша и Медведь,"1,139",37.6M,"31,845,287,102"
GR6 EXPLODE,"4,072",37.2M,"23,263,064,615"
LUCCAS NETO - LUCCAS TOON,"1,783",37.1M,"19,736,911,623"
One Direction,157,37M,"12,397,835,526"
XXXTENTACION,114,36.8M,"9,445,643,558"
Ishtar Music,"4,496",36.7M,"14,227,593,232"
Voot Kids,"2,875",36.3M,"16,096,496,089"
Daddy Yankee,409,36.2M,"19,540,537,009"
Kimberly Loaiza,197,36.2M,"4,002,904,011"
WorkpointOfficial,"58,934",36.2M,"32,759,624,867"
Shemaroo,"8,963",36.1M,"19,313,177,893"
News,--,36M,--
Maroon 5,163,35.7M,"20,232,509,113"
Shakira,270,35.5M,"22,591,879,625"
Toys and Colors,765,35.4M,"38,365,769,355"
CarryMinati,177,35.2M,"2,844,277,672"
shfa,795,35.1M,"18,160,107,907"
shfa2 - شفا,"1,225",34.8M,"19,688,167,330"
Ozuna,137,34.8M,"20,482,180,244"
Bruno Mars,96,34.7M,"16,720,167,641"
TEDx Talks,"180,040",34.6M,"6,362,468,649"
Jkk Entertainment,186,34.5M,"14,403,267,858"
Super Simple Songs - Kids Songs,587,33.9M,"35,235,827,379"
one31,"122,442",33.4M,"26,345,656,945"
J Balvin,129,33.3M,"20,892,365,241"
Masha and The Bear,872,33.2M,"17,999,127,339"
VEGETTA777,"7,010",33M,"14,730,851,622"
YouTube,483,32.9M,"2,647,950,108"
Goldmines Gaane Sune Ansune,"2,934",32.8M,"13,428,903,382"
Markiplier,"5,130",32.6M,"18,028,610,282"
Like Nastya ESP,584,32.6M,"15,134,707,989"
Ryan's World,"2,156",32.4M,"51,325,117,757"
ABP NEWS,"209,795",32.3M,"9,866,350,276"
Desi Music Factory,122,32.2M,"9,118,781,088"
